domain_name,label,language,malicious_tags,all_tags,word_count,domain_length,posts,profile,visit,skip,report,blog,content,search,powered,well,use,link,contact,business,email,everything,new,home,page,create,website,services,free,data,facebook,account,designed,things,outdated,insecure,policy,service,support,help,privacy,learn,information,management,time,health,events,view,news,best,find,online,read,standard,school
hak5.org,0,en,13,1595,1458,8,0,0,0,0,0,0,2,0,0,0,0,2,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,6,5,0,1,2,1,0,0,0,0,0,0,0,0,4,0,1,0
scamcharge.com,0,en,4,207,543,14,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0
bluecross.ca,0,en,11,483,712,12,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3,1,5,1,0,0,13,0,1,3,0,1,0,4,0,0
group.com,0,en,26,1182,1201,9,0,0,0,0,0,0,0,1,0,0,2,0,2,0,6,0,2,2,0,8,0,0,6,0,1,3,1,0,0,0,1,0,7,7,1,18,0,1,1,0,2,1,0,0,2,4,3,1,14
yodo1.com,0,en,63,886,662,9,0,0,0,0,0,7,0,0,0,0,0,0,4,1,0,0,3,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,5,1,1,0,0,1,0,2,0,0,1,1,0,3,0,0
loyjoy.com,0,en,3,983,1491,10,0,0,0,0,0,2,0,0,0,1,7,1,2,7,3,0,2,1,1,2,1,0,2,8,1,0,1,0,0,0,1,7,7,1,2,12,0,3,0,0,0,0,2,0,4,1,1,0,0
my.xero.com,0,en,6,71,119,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
clojars.org,0,en,4,199,154,11,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
environment.data.gov.uk,0,en,7,164,433,23,0,0,0,1,0,0,2,1,0,0,2,0,0,0,0,0,1,2,2,3,0,7,0,19,0,3,0,0,0,0,1,0,5,1,1,0,2,0,0,0,0,2,0,0,1,0,0,0,0
trint.com,0,en,3,760,840,9,0,0,0,0,0,2,7,1,0,0,4,0,0,0,0,0,1,0,0,3,0,2,1,2,0,0,0,0,0,0,0,0,1,1,1,10,0,0,3,0,0,0,0,0,0,0,1,0,0
mcneel.com,0,en,21,241,243,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,1,1,0,0,0,0,0,0,1,1,4,2,0,0,0
www.slimmingeats.com,0,en,10,804,1128,20,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,2,0,2,0,0,1,0,6,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
dailybruin.com,0,en,3,490,1049,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,4,1,1,0,3,0,0,2,0,0,1
truecarmail.com,0,en,0,2235,1716,15,0,0,0,1,0,2,1,1,0,1,2,0,2,0,0,0,60,0,0,0,2,0,0,1,0,0,0,0,0,0,3,4,0,2,5,3,1,0,3,0,0,0,0,3,7,8,0,0,0
www.cnn.com,0,en,46,2565,2068,11,0,0,0,0,1,0,4,0,0,0,1,0,0,5,0,0,11,3,1,0,0,0,0,0,0,12,0,2,0,0,2,0,0,1,1,0,0,0,0,5,0,0,8,0,0,0,0,0,0
